method;model;directory;conf;iou;imsize;max_det;file;pix_x;pix_y;nb_det;area_tot;w_mean;h_mean
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Alticidae_Drawer_0063.JPG;6000;4000;369;5730097;88.16260162601625;171.55013550135502
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Alticidae_Drawer_0064.JPG;6000;4000;248;3234188;81.53629032258064;159.48790322580646
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Alticidae_Drawer_0065.JPG;6000;4000;235;3766002;93.54893617021277;168.79574468085107
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anobiidae_Drawer_0020.JPG;6000;4000;37;1114781;133.02702702702703;219.24324324324326
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthicidae_Drawer_0059.JPG;6000;4000;356;4495694;80.11235955056179;156.0561797752809
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthicidae_Drawer_0060.JPG;6000;4000;369;4519525;79.6178861788618;151.260162601626
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthicidae_Drawer_0061.JPG;6000;4000;367;4855273;81.56403269754769;159.0299727520436
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0066.JPG;6000;4000;210;2559741;78.20952380952382;145.44285714285715
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0067.JPG;6000;4000;370;4615707;79.22432432432433;155.5891891891892
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0068.JPG;6000;4000;370;5019069;81.73513513513514;161.88378378378377
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0069.JPG;6000;4000;180;2870532;87.92777777777778;177.69444444444446
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0070.JPG;6000;4000;287;3747522;80.84320557491289;158.10104529616726
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0071.JPG;6000;4000;194;3886017;97.11855670103093;197.60824742268042
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0072.JPG;6000;4000;187;2859471;87.97860962566845;170.54010695187165
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0073.JPG;6000;4000;368;5557658;85.64945652173913;171.0516304347826
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0074.JPG;6000;4000;370;5233026;83.74054054054054;164.18648648648647
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0075.JPG;6000;4000;245;4342592;93.33469387755102;181.96326530612245
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0076.JPG;6000;4000;306;4067498;81.43464052287581;159.4346405228758
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0077.JPG;6000;4000;337;4939515;84.35608308605342;168.51632047477744
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0078.JPG;6000;4000;236;3483853;85.60169491525424;164.76271186440678
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0079.JPG;6000;4000;360;5409753;85.81666666666666;169.825
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0080.JPG;6000;4000;189;2794089;86.55555555555556;166.88359788359787
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0081.JPG;6000;4000;370;5222789;82.5972972972973;166.61081081081082
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0082.JPG;6000;4000;17;281136;91.3529411764706;174.94117647058823
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0083.JPG;6000;4000;368;4488047;79.02717391304348;153.33695652173913
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0084.JPG;6000;4000;369;5010446;82.48238482384824;162.2249322493225
YOLO;coleo.pt;Col_Box_Coleo/;0.5;0;2000;1000;Anthribidae_Drawer_0085.JPG;6000;4000;369;4571773;79.55013550135502;154.09214092140923
